pscore	qscore	npeaks	lpeaks	avelpeak
9.90	7.71	35566	19345645	543.94
9.60	7.42	36160	19819124	548.10
9.30	7.13	36605	20193456	551.66
9.00	6.84	37289	20726245	555.83
8.70	6.55	37861	21212763	560.28
8.40	6.26	38571	21773656	564.51
8.10	5.98	39365	22424881	569.67
7.80	5.68	39892	22869098	573.28
7.50	5.40	41002	23750703	579.26
7.20	5.11	41544	24192307	582.33
6.90	4.83	42853	25249882	589.22
6.60	4.53	43507	25813073	593.31
6.30	4.25	44669	26783897	599.61
6.00	3.96	45391	27393919	603.51
5.70	3.68	46769	28571710	610.91
5.40	3.39	47849	29535037	617.26
5.10	3.11	49249	30703509	623.43
4.80	2.83	50817	32056878	630.83
4.50	2.54	52243	33357797	638.51
4.20	2.27	54085	35034060	647.76
3.90	1.99	55929	36614279	654.66
3.60	1.71	58472	38773330	663.11
3.30	1.43	60725	40796709	671.83
3.00	1.17	64455	43859969	680.47
2.70	0.90	68080	46887512	688.71
2.40	0.64	73097	50948004	696.99
2.10	0.39	79027	55304439	699.82
1.80	0.16	90567	63025905	695.90
1.50	0.00	103122	70886819	687.41
1.20	0.00	133190	86845861	652.04
0.90	0.00	200751	118467531	590.12
0.60	0.00	391347	199460102	509.68
0.30	0.00	890347	433993272	487.44
