pscore	qscore	npeaks	lpeaks	avelpeak
9.90	6.73	3277	1607687	490.60
9.60	6.47	3555	1779690	500.62
9.30	6.20	3869	1940864	501.64
9.00	5.95	4252	2154509	506.70
8.70	5.70	4651	2379146	511.53
8.40	5.44	5115	2624630	513.12
8.10	5.18	5578	2904732	520.75
7.80	4.92	6002	3155816	525.79
7.50	4.68	6860	3632894	529.58
7.20	4.42	7400	3924162	530.29
6.90	4.17	8347	4472566	535.83
6.60	3.91	9017	4862237	539.23
6.30	3.67	10254	5555512	541.79
6.00	3.41	11138	6070271	545.01
5.70	3.17	12850	6996781	544.50
5.40	2.92	14364	7818242	544.29
5.10	2.68	16412	8942966	544.90
4.80	2.43	18398	10041777	545.81
4.50	2.20	21726	11773456	541.91
4.20	1.95	24244	13257389	546.83
3.90	1.72	29300	15748079	537.48
3.60	1.48	33673	18182963	539.99
3.30	1.27	41905	22282199	531.73
3.00	1.04	49614	26458088	533.28
2.70	0.83	62231	32810647	527.24
2.40	0.61	76789	40722398	530.32
2.10	0.41	96766	51056919	527.63
1.80	0.20	120541	64766483	537.30
1.50	0.03	162289	87289737	537.87
1.20	0.00	241431	131629504	545.21
0.90	0.00	300734	172124213	572.35
0.60	0.00	477373	288695324	604.76
0.30	0.00	817206	554437444	678.45
