pscore	qscore	npeaks	lpeaks	avelpeak
9.90	7.71	30591	20273291	662.72
9.60	7.42	31030	20648572	665.44
9.30	7.12	31420	21044657	669.79
9.00	6.84	31974	21592868	675.33
8.70	6.55	32976	22491247	682.05
8.40	6.26	33573	23073149	687.25
8.10	5.97	33882	23386184	690.22
7.80	5.69	35124	24586164	699.98
7.50	5.40	35905	25410225	707.71
7.20	5.11	36260	25770842	710.72
6.90	4.82	37271	26767776	718.19
6.60	4.54	38723	28161082	727.24
6.30	4.25	39292	28695122	730.30
6.00	3.96	39788	29223954	734.49
5.70	3.68	41412	30904452	746.27
5.40	3.40	42974	32488318	756.00
5.10	3.11	43417	32979651	759.60
4.80	2.83	45099	34726173	770.00
4.50	2.56	47430	37042243	780.99
4.20	2.28	48703	38432385	789.12
3.90	2.00	50634	40560342	801.05
3.60	1.73	53388	43429058	813.46
3.30	1.45	55191	45327848	821.29
3.00	1.17	58024	48211254	830.88
2.70	0.91	62469	52710645	843.79
2.40	0.64	66155	56610819	855.73
2.10	0.37	69337	60157919	867.62
1.80	0.13	77810	67814731	871.54
1.50	0.00	87116	76739242	880.89
1.20	0.00	107796	92526869	858.35
0.90	0.00	132165	110520319	836.23
0.60	0.00	228550	165604558	724.59
0.30	0.00	362124	247360439	683.08
