pscore	qscore	npeaks	lpeaks	avelpeak
9.90	7.62	20897	14757250	706.19
9.60	7.34	22090	15659130	708.88
9.30	7.08	24030	17278409	719.03
9.00	6.82	25887	18888811	729.66
8.70	6.56	27575	20451946	741.68
8.40	6.30	30630	22692289	740.85
8.10	6.02	32083	23928057	745.82
7.80	5.75	34257	25649156	748.73
7.50	5.51	37955	29041764	765.16
7.20	5.24	41071	31647042	770.54
6.90	4.98	43942	34369129	782.15
6.60	4.72	48882	38089924	779.22
6.30	4.45	51824	41254089	796.04
6.00	4.20	57314	45256940	789.63
5.70	3.94	62298	50990119	818.49
5.40	3.67	66619	54467014	817.59
5.10	3.42	72636	60663784	835.18
4.80	3.14	76349	63681754	834.09
4.50	2.91	87706	75172003	857.09
4.20	2.64	92969	79984773	860.34
3.90	2.40	105632	91355147	864.84
3.60	2.13	112238	100194071	892.69
3.30	1.90	129990	115270547	886.76
3.00	1.65	141592	129607350	915.36
2.70	1.40	162022	148430098	916.11
2.40	1.15	176595	166084588	940.48
2.10	0.92	208904	195380570	935.26
1.80	0.70	240434	231293682	961.98
1.50	0.46	274322	267169444	973.93
1.20	0.24	323778	326790560	1009.30
0.90	0.00	355210	371936160	1047.09
0.60	0.00	477679	512250458	1072.37
0.30	0.00	714497	785626687	1099.55
